name,r,g,b,sum
Animal,64,128,64,256
Archway,192,0,128,320
Bicyclist,0,128,192,320
Bridge,0,128,64,192
Building,128,0,0,128
Car,64,0,128,192
CartLuggagePram,64,0,192,256
Child,192,128,64,384
Column_Pole,192,192,128,512
Fence,64,64,128,256
LaneMkgsDriv,128,0,192,320
LaneMkgsNonDriv,192,0,64,256
Misc_Text,128,128,64,320
MotorcycleScooter,192,0,192,384
OtherMoving,128,64,64,256
ParkingBlock,64,192,128,384
Pedestrian,64,64,0,128
Road,128,64,128,320
RoadShoulder,128,128,192,448
Sidewalk,0,0,192,192
SignSymbol,192,128,128,448
Sky,128,128,128,384
SUVPickupTruck,64,128,192,384
TrafficCone,0,0,64,64
TrafficLight,0,64,64,128
Train,192,64,128,384
Tree,128,128,0,256
Truck_Bus,192,128,192,512
Tunnel,64,0,64,128
VegetationMisc,192,192,0,384
Void,0,0,0,0
Wall,64,192,0,256
